english,polish,alternatives
education,"1.  szkolnictwo
 2.  wykształcenie",ˌedjəˈkeɪʃən
educational,edukacyjny,ˌedjəˈkeɪʃənəl
educationalist,metodyk,ˌedjəˈkeɪʃənəlɪst
educator,nauczyciel,wychowawca|ˈedjəkeɪtə
eec,ewg,ewg europejska wspólnota gospodarcza
eel,i:l,węgorz
eerie,dziwny,niesamowity|ˈɪərɪ
efface,wymazywać,ścierać|ɪˈfeɪs
effect,come,"rezultat
 2.  efekt|that|zostać wprowadzonym w życie|że"
effective,"1.  efektywny
 2.  faktyczny","rzeczywisty
 3.  obowiązujący|ważny|ɪˈfektɪv"
effeminate,zniewieściały,ɪˈfemɪnət
efficient,efektywny,wydajny|ɪˈfɪʃənt
effigy,ˈefɪʤɪ,
effluent,ściek,ˈeflʊənt
effort,"1.  wysiłek
 2.  dokonanie",ˈefət
effortless,bez wysiłku,ˈefətlɪs
effrontery,bezczelność,grubiaństwo|ɪˈfrʌntərɪ
efl,angielski jako język obcy,
efta,europejskie stowarzyszenie wolnego handlu,ˈeftə
eg,exempli gratia,na przykład|np.
egalitarian,egalitarny,ɪˌgælɪˈteərɪən
egg,eg,podjudzać
eggcup,kieliszek do jajek,ˈegkʌp
egghead,jajogłowy,ˈeghed
eggplant,bakłażan,ˈegplɑ:nt
eggshell,skorupka,skorupka jajka|ˈegʃel
egoist,egoistyczny,ˈi:gəʊɪst
egoistic,egoistical,egoistyczny|ˌi:gəʊˈɪstɪk
egoistical,egoistic,egoistyczny|ˌi:gəʊˈɪstɪk
egypt,egipt,ˈi:ʤɪpt
egyptian,"i.    egipski
ii.    egipcjanin",ɪˈʤɪpʃən
eh,eɪ,jak?
eiderdown,pierzyna,ˈaɪdədaʊn
eight,osiem,ˈeɪt
eighteen,eɪˈti:n,osiemnaście
eighteenth,eɪˈti:nθ,osiemnasty
eighth,ósmy,ˈeɪtθ
eightieth,osiemdziesiąty,ˈeɪtɪθ
eighty,osiemdziesiąt,ˈeɪtɪ
eire,irlandia,irlandia republika irlandzka|ˈeərə
either,jeden,ˈaɪðə|ˈi:ðə
eject,ɪˈʤekt,
eke out,1.  podtrzymywać,"i:k ˈaʊt|uzupełniać
 2.  ledwo zarabiać"
elaborate,opracowywać,
elapse,upływać,ɪˈlæps
elastic,"i.    guma
ii.    elastyczny",ɪˈlæstɪk
elated,podniecony,ɪˈleɪtɪd
elation,podniecenie,uniesienie|ɪˈleɪʃən
elbow,odpychać,ˈelbəʊ
elder,bez,"starcy
 3.  bez czarny|ˈeldə"
elderly,ˈeldəlɪ,
eldest,najstarszy,ˈeldɪst
elect,ɪˈlekt,
election,ɪˈlekʃən,
elector,wyborca,ɪˈlektə
electoral,wyborczy,ɪˈlektərəl
electorate,elektorat,ɪˈlektərət
electric,porażenie prądem,wstrząs elektryczny|ɪˈlektrɪk|ɪˈlektrɪk ʃɒk|ɪˈlektrɪk ʧeə
electrical,ɪˈlektrɪkəl,
electrician,elektryk,ɪˌlekˈtrɪʃən
electricity,elektryczność,ɪˌlekˈtrɪsɪtɪ
electrify,"1.  elektryzować
 2.  elektryfikować",ɪˈlektrɪfaɪ
electrocute,śmiertelnie porazić prądem,ɪˈlektrəkju:t
electrode,elektroda,ɪˈlektrəʊd
electron,elektron,ɪˈlektrɒn
electronic,ɪlekˈtrɒnɪk,ɪlekˌtrɒnɪk ˈmeɪl
electronics,ɪlekˈtrɒnɪks,
elegant,"1.  elegancki
 2.  wytworny",ˈelɪgənt
elegy,elegia,ˈeləʤɪ
element,1.  element,ˈeləmənt
elemental,niepohamowany,żywiołowy|ˌeləˈmentəl
elementary,"1.  elementarny
 2.  podstawowy",ˌeləˈmentərɪ
elephant,słoń,ˈeləfənt
elevate,1.  wywyższać,"podnosić|wynosić   
 2.  wznosić|ˈelɪveɪt"
elevated,wyniosły,ˈelɪveɪtɪd
elevation,1.  wyniesienie,"do)
 2.  wzniesienie|wysokość|wzniesienie (to - na|ˌeləˈveɪʃən"
elevator,winda,ˈelɪveɪtə
eleven,jedenaście,ɪˈlevən
eleventh,ɪˈlevənθ,
elf,krasnoludek,
elicit,"1.  wywoływać 
 2.  wydobywać",ɪˈlɪsɪt
eligible,ˈelɪʤəbəl,
eliminate,eliminować,usuwać|ɪˈlɪmɪneɪt
elite,ɪˈli:t,
elitism,elitarność,ɪˈli:tɪzəm
elixir,eliksir,ɪˈlɪksɪə
elizabeth regina,er,królowa elżbieta
ellipse,elipsa,ɪˈlɪps
elliptic,eliptyczny,elliptical|ɪˈlɪptɪk
elliptical,eliptyczny,elliptic|ɪˈlɪptɪk
elm,wiąz,
elocution,dobra wymowa,ˌeləˈkju:ʃən
elongated,wydłużony,ˈi:lɒŋgeɪtɪd
elope,by wziąć ślub,uciekać|ɪˈləʊp
eloquent,elokwentny,wymowny|ˈeləkwənt
else,albo,els
elsewhere,gdzie indziej,gdziekolwiek|ˈelsweə
elucidate,wyjaśniać,ɪˈlu:sɪdeɪt
elude,ɪˈlu:d,
elusive,nieuchwytny,trudny do uchwycenia|ɪˈlu:sɪv
emaciated,wychudzony,wyniszczony|ɪˈmeɪʃɪeɪtɪd
email,e-mail,poczta elektroniczna|ˈi:meɪl
emanate,pochodzić,ˈeməneɪt
emancipate,emancypować,ɪˈmænsɪpeɪt
emancipation,emancypacja,ɪˌmænsɪˈpeɪʃən
embalm,balsamować,ɪmˈbɑ:m
embankment,nabrzeże,nasyp|ɪmˈbæŋkmənt
embargo,ɪmˈbɑ:gəʊ,
embark,1.  zaczynać,"na pokład)|puszczać się   
 2.  wsiadać|wchodzić (on - na|ɪmˈbɑ:k"
embarrass,1.  kłopotać,"stwarzać kłopoty|zawstydzać
 2.  stwarzać problemy|ɪmˈbærəs"
embarrassed,zakłopotany,ɪmˈbærəst
embarrassing,krępujący,kłopotliwy|ɪmˈbærəsɪŋ
embarrassment,1.  zakłopotanie,"powód skrępowania|skrępowanie
 2.  kłopot|ɪmˈbærəsmənt"
embassy,ambasada,ˈembəsɪ
embattled,osaczony,ɪmˈbætəld
embedded,"1.  uwięzły 
 2.  zakorzeniony",ɪmˈbedɪd
embellish,przystrajać,upiększać|ɪmˈbelɪʃ
ember,niewygasły drewno,niewygasły węgiel|żar|ˈembə
embezzle,przywłaszczać,sprzeniewierzać|ɪmˈbezəl
embitter,gorzknieć,ɪmˈbɪtə
emblazoned,ozdobiony,uwidoczniony|ɪmˈbleɪzənd
emblem,ˈembləm,
embodiment,uosobienie,ɪmˈbɒdəmənt
embody,"1.  ucieleśniać
 2.  włączać",uwzględniać|ɪmˈbɒdɪ
emboldened,ośmielony,ɪmˈbəʊldənd
embossed,tłoczony,ɪmˈbɒst
embrace,i.    obejmować,ɪmˈbreɪs
embroider,haftować,wyszywać|ɪmˈbrɔɪdə
embroidery,1.  wyszywanie,"haftowanie
 2.  haft|ornament|ɪmˈbrɔɪdərɪ"
embroil,wdawać się,ɪmˈbrɔɪl
embryo,embrion,zarodek|ˈembrɪəʊ
embryonic,embrionalny,zarodkowy|ˌembrɪˈɒnɪk
emerald,"i.    szmaragd
ii.    szmaragdowy",ˈemərəld
emerge,1.  wyłaniać się,"wychodzić   
 2.  pojawiać się|ɪˈmɜ:ʤ"
emergency,i.    nagły wypadek,ratunkowy|ɪˈmɜ:ʤənsɪ
emergent,pojawiający się,wyłaniający się|ɪˈmɜ:ʤənt
emigrate,emigrować,ˈemɪgreɪt
emigration,emigracja,ˌemɪˈgreɪʃən
emigre,emigrant,emigrant polityczny|uchodźca|émigré|ˈemɪgreɪ
eminence,ˈemɪnəns,
eminent,wybitny,ˈemɪnənt
eminently,przeważnie,ˈemɪnəntlɪ
emissary,emisariusz,ˈemɪsərɪ
emission,emisja,wydzielanie|ɪˈmɪʃən
emit,emitować,wydzielać|ɪˈmɪt
emotion,emocja,uczucie|ɪˈməʊʃən
emotional,emocjonalny,uczuciowy|ɪˈməʊʃənəl
emotive,odwołujący się do uczuć,ɪˈməʊtɪv
empathy,empatia,wczucie się|ˈempəθɪ
emperor,cesarz,imperator|ˈempərə
emphasis,1.  znaczenie,"nacisk
 2.  akcent|przycisk|ˈemfəsɪs"
emphasize,kłaść nacisk,podkreślać|ˈemfəsaɪz
emphatic,wyrazisty,ɪmˈfætɪk
empire,cesarstwo,imperium|ˈempaɪə
empirical,empiryczny,ɪmˈpɪrɪkəl
empiricism,empiria,ɪmˈpɪrɪsɪzəm
employ,posługiwać się,ɪmˈplɔɪ
employee,pracownik,ɪmplɔɪˈi:
employer,pracodawca,ɪmˈplɔɪə
employment,praca,zatrudnienie|ɪmˈplɔɪmənt
empower,przyznawać prawo,upoważniać|ɪmˈpaʊə
empress,cesarzowa,ˈemprɪs
emptiness,pustka,ˈemtɪnɪs
empty,"opróżniać
 2.  usuwać",wylewać|ˈemtɪ
emptyhanded,empty-handed,z pustymi rękoma|ˌemtɪˈhændɪd
emulate,naśladować,ˈemjəleɪt
en route,po drodze,w drodze|ˌɒn ˈru:t
enable,pozwalać,umożliwiać|ɪˈneɪbəl
enact,ɪˈnækt,
enamel,ɪˈnæməl,
enamored,enamoured,rozmiłowany|ɪˈnæməd
enamoured,enamored,rozmiłowany|ɪˈnæməd
enc,załącznik,
encapsulate,zwięźle obejmować,ɪŋˈkæpsjəleɪt
encase,okrywać,zamykać|ɪŋˈkeɪs
enchanted,"1.  oczarowany
 2.  zaczarowany",ɪnˈʧɑ:ntɪd
encircle,okrążać,otaczać|ɪnˈsɜ:kəl
encl,załącznik,
enclave,enklawa,ˈeŋkleɪv
enclose,1.  zawierać,"otaczać   
 2.  załączać|ɪŋˈkləʊz"
enclosure,ɪŋˈkləʊʒə,
encode,kodować,szyfrować|ɪŋˈkəʊd
encompass,obejmować,ɪŋˈkʌmpəs
encore,ˈɒŋkɔ:,
encounter,ɪŋˈkaʊntə,
encourage,1.  zachęcać,"ośmielać
 2.  popierać|ɪŋˈkʌrɪʤ"
encouraging,ośmielający,zachęcający|ɪŋˈkʌrəʤɪŋ
encroach,wtargnąć,ɪŋˈkrəʊʧ
encrusted,inkrustowany,ɪŋˈkrʌstɪd
encumber,krępować,obarczać|ɪŋˈkʌmbə
encumbrance,obciążenie,skrępowanie|ɪŋˈkʌmbrəns
encyclopaedia,encyclopedia,encyklopedia|ɪnˌsaɪkləˈpi:dɪə
encyclopedia,encyclopaedia,encyklopedia|ɪnˌsaɪkləˈpi:dɪə
endanger,zagrażać,ɪnˈdeɪnʤə
endear,ɪnˈdɪə,
endeavor,endeavour,i.    usiłować|próba|wysiłek|ɪnˈdevə
endeavour,endeavor,i.    usiłować|próba|wysiłek|ɪnˈdevə
endemic,endemiczny,enˈdemɪk
ending,zakończenie,ˈendɪŋ
endless,"1.  bezustanny
 2.  nieskończony",ˈendlɪs
endorse,"1.  popierać
 2.  żyrować",ɪnˈdɔ:s
endow,obdarowywać,obdarzać|ɪnˈdaʊ
endurable,wytrzymały,ɪnˈdjʊərəbəl
endurance,wytrzymałość,ɪnˈdjʊərəns
endure,"1.  wytrzymywać
 2.  trwać",ɪnˈdjʊə
enemy,wróg,ˈenəmɪ
energetic,"1.  energiczny
 2.  dynamiczny",ˌenəˈʤetɪk
energy,energia,ˈenəʤɪ
enfold,otaczać,ɪnˈfəʊld
enforce,ɪnˈfɔ:s,
eng,inżynier,
engage,ɪŋˈgeɪʤ,
engaged,ɪŋˈgeɪʤd,
engagement,ɪŋˈgeɪʤmənt,
engender,powodować,rodzić|ɪnˈʤendə
engine,"1.  silnik
 2.  lokomotywa",ˈenʤɪn
engineering,inżynieria,ˌenʤɪˈnɪərɪŋ
england,anglia,ˈɪŋglənd
englander,anglik,ˈɪŋgləndə
english,ˈɪŋglɪʃ,
englishman,anglik,ˈɪŋglɪʃmən
englishwoman,angielka,ˈɪŋglɪʃwʊmən
engrave,ɪŋˈgreɪv,
engraving,grafika,rycina|ɪŋˈgreɪvɪŋ
engrossed,pogrążony,zatopiony|ɪŋˈgrəʊst
engulf,ogarniać,pochłaniać|ɪŋˈgʌlf
enhance,polepszać,zwiększać|ɪnˈhɑ:ns
enigma,zagadka,ɪˈnɪgmə
enigmatic,enigmatyczny,ˌenɪˈgmætɪk
enjoy,ɪnˈʤɔɪ,
enjoyable,miły,przyjemny|ɪnˈʤɔɪəbəl
enjoyment,"1.  radość
 2.  przyjemność",ɪnˈʤɔɪmənt
enlargement,powiększenie,ɪnˈlɑ:ʤmənt
enlighten,oświecać,ɪnˈlaɪtən
enlightenment,oświecenie,ɪnˈlaɪtənmənt
enlist,1.  zaciągać się,ɪnˈlɪst
enliven,ożywiać,ɪnˈlaɪvən
enmity,wrogość,ˈenmɪtɪ
ennoble,uszlachetniać,ɪˈnəʊbəl
enormity,ogrom,ɪˈnɔ:mɪtɪ
enormous,"1.  gigantyczny
 2.  ogromny",ɪˈnɔ:məs
enough,ɪˈnʌf,
enquire,badać,dociekać|dociekać czegoś|i.    dowiadywać się|inquire
enquiry,"1.  zapytanie
 2.  dociekanie",inquiry|ɪnˈkwaɪərɪ
enrage,rozwścieczać,ɪnˈreɪʤ
enrich,wzbogacać,ɪnˈrɪʧ
enrol,enroll,zapisywać|zapisywać się|ɪnˈrəʊl
enroll,enrol,zapisywać|zapisywać się|ɪnˈrəʊl
ensign,ˈensaɪn,
enslave,ɪnˈsleɪv,
ensue,następować,ɪnˈsju:
ensure,gwarantować,insure|zapewniać|ɪnˈʃʊə
entail,pociągać za sobą,ɪnˈteɪl
entangle,ɪnˈtæŋgəl,
entanglement,poplątanie,ɪnˈtæŋgləmənt
enter,"uczestniczyć 
 2.  mieć rolę",ˈentə
enterprise,"gospodarka
 4.  przedsiębiorczość",przedsiębiorstwo|ˈentəpraɪz
enterprising,przedsiębiorczy,ˈentəpraɪzɪŋ
entertain,"1.  zabawiać
 2.  przyjmować",mieć|ˌentəˈteɪn
entertainer,artysta kabaretowy,ˌentəˈteɪnə
entertainment,ˌentəˈteɪnmənt,
enthuse,entuzjazmować się,ɪnˈθju:z
enthusiasm,ɪnˈθju:zɪæzəm,
enthusiast,entuzjasta,ɪnˈθju:zɪæst
enthusiastic,entuzjastyczny,ɪnˌθju:zɪˈæstɪk
entice,nęcić,wabić|ɪnˈtaɪs
entire,całkowity,cały|ɪnˈtaɪə
entirety,ɪnˈtaɪərətɪ,
entitle,"1.  tytułować
 2.  upoważniać",ɪnˈtaɪtəl
entitled,zatytułowany,ɪnˈtaɪtəld
entitlement,prawo,ɪnˈtaɪtəlmənt
entity,całostka,jednostka|ˈentɪtɪ
entourage,świta,ɒntu:ˈrɑ:ʒ
entrails,wnętrzności,ˈentreɪlz
entrance,wprawiać w trans,
entrant,ˈentrənt,
entrenched,wpojony,zakorzeniony|ɪnˈtrenʧt
entrepreneur,przedsiębiorca,ˌɒntrəprəˈnɜ:
entrust,powierzać,ɪnˈtrʌst
entry,ˈentrɪ,
entwine,splatać,ɪnˈtwaɪn
enumerate,wyliczać,ɪˈnju:məreɪt
enunciate,ɪˈnʌnsɪeɪt,
envelop,otulać,spowijać|ɪnˈveləp
envelope,koperta,ˈenvələʊp
enviable,godny zazdrości,ˈenvɪəbəl
envious,zazdrosny,ˈenvɪəs
environment,1.  otoczenie,środowisko naturalne|ɪnˈvaɪərənmənt
environmental,ɪnˌvaɪərənˈmentəl,
environmentalist,ekolog,ochroniarz|ochroniarz przyrody|ɪnˌvaɪərənˈmentəlɪst
envisage,przewidywać,wyobrażać sobie|ɪnˈvɪzɪʤ
envoy,poseł,wysłannik|wysłannik dyplomatyczny|ˈenvɔɪ
envy,ˈenvɪ,
ephemeral,efemeryczny,ɪˈfemərəl
epic,bohaterski,ˈepɪk
epidemic,epidemia,ˌepɪˈdemɪk
epilepsy,epilepsja,padaczka|ˈepɪlepsɪ
epileptic,epileptyczny,"epileptyk
ii.    padaczkowy|i.    chory na padaczkę|ˌepɪˈleptɪk"
epilogue,epilog,ˈepɪlɒg
episcopal,biskupi,episkopalny|episkopalny kościół|ɪˈpɪskəpəl
episcopalian,episkopalny,ɪˌpɪskəˈpeɪlɪən
episode,1.  epizod,"zdarzenie
 2.  odcinek|ˈepɪsəʊd"
epitaph,epitafium,napis nagrobny|ˈepɪtɑ:f
epithet,epitet,określenie|ˈepɪθet
epitome,the epitome  wzór,uosobienie|ɪˈpɪtəmɪ
epitomise,epitomize,obrazować|przedstawiać|ɪˈpɪtəmaɪz
epitomize,epitomise,obrazować|przedstawiać|ɪˈpɪtəmaɪz
epoch,epoka,ˈi:pɒk
equable,spokojny,zrównoważony|ˈekwəbəl
equal,"jednakowy
 2.  ktoś równorzędny",ˈi:kwəl
equality,równość,ɪˈkwɒlɪtɪ
equalize,dorównywać,zrównywać|zrównywać się|ˈi:kwəlaɪz
equally,jednakowo,tak samo|ˈi:kwəlɪ
equanimity,opanowanie,pogoda ducha|ˌekwəˈnɪmɪtɪ
equate,zrównywać,ɪˈkweɪt
equation,równanie,ɪˈkweɪʒən
equator,równik,ɪˈkweɪtə
equatorial,równikowy,ˌekwəˈtɒrɪəl
equestrian,i.    jeździecki,"konny
ii.    jeździec|ɪˈkwestrɪən"
equidistant,odległy równo,ˌi:kwɪˈdɪstənt
equilibrium,równowaga,ˌi:kwɪˈlɪbrɪəm
equinox,równonoc,zrównanie dnia z nocą|ˈi:kwɪnɒks
equip,1.  ekwipować się,ekwipować|przygotowywać|zaopatrywać się|ɪˈkwɪp
equipment,ekwipunek,sprzęt|wyposażenie|ɪˈkwɪpmənt
equitable,sprawiedliwy,słuszny|ˈekwɪtəbəl
equity,sprawiedliwość,słuszność|ˈekwɪtɪ
equivalence,ekwiwalencja,równoważność|ɪˈkwɪvələns
equivalent,"odpowiadający
ii.    ekwiwalent",odpowiednik|ɪˈkwɪvələnt
equivocal,dwuznaczny,niejednoznaczny|ɪˈkwɪvəkəl
equivocate,niejasno,wyrażać się dwuznacznie|ɪˈkwɪvəkeɪt
er,elizabeth regina,królowa elżbieta
era,okres,ˈɪərə
eradicate,wykorzeniać,ɪˈrædɪkeɪt
erase,"1.  usuwać
 2.  wymazywać",ɪˈreɪz
eraser,gumka,gumka do wymazywania|ɪˈreɪzə
erect,"składać
ii.    wyprostowany",ɪˈrekt
erection,"1.  wzniesienie
 2.  erekcja",wzwód|ɪˈrekʃən
erode,1.  podminowywać,"podkopywać
 2.  poddawać erozji|wydrążać|ɪˈrəʊd"
erosion,ɪˈrəʊʒən,
erotic,erotyczny,ɪˈrɒtɪk
eroticism,erotyka,erotyzm|ɪˈrɒtɪsɪzəm
errand,ˈerənd,
erratic,kapryśny,zmienny|ɪˈrætɪk
erroneous,błędny,ɪˈrəʊnɪəs
error,ˈerə,
erudite,erudycyjny,ˈerʊdaɪt
erupt,eksplodować,ɪˈrʌpt
eruption,wybuch,ɪˈrʌpʃən
escalate,wzmagać,wzmagać się|wzrastać|ˈeskəleɪt
escalator,ruchome schody,ˈeskəleɪtə
escapade,eskapada,ˈeskəpeɪd
escape,ɪˈskeɪp,
escapism,eskapizm,ɪˈskeɪpɪzəm
escort,"escort
i.    eskorta","eskortujący
ii.    eskortować"
esl,angielski jako drugi język,
esoteric,ezoteryczny,ˌesəʊˈterɪk
esp,"esp.
  szczególnie",
especial,specjalny,szczególny|ɪˈspeʃəl
especially,ɪˈspeʃəlɪ,
espionage,szpiegostwo,ˈespɪənɑ:ʒ
esquire,ɪˈskwaɪə,
essay,"1.  wypracowanie
 2.  esej",ˈeseɪ
essayist,eseista,ˈeseɪɪst
essence,1.  istota,ˈesəns
essentially,w zasadzie,ɪˈsenʃəlɪ
est,"est.
  założony",
establish,pojawiać się,ɪˈstæblɪʃ
establishment,grupa rządząca,ɪˈstæblɪʃmənt
esteem,ɪˈsti:m,
esthetic,aesthetic,estetyczny|i:sˈθetɪk
estimate,"estimate
i.    szacować","ocena
 2.  kosztorys|oceniać
ii.   1.  szacunek"
estimation,oszacowanie,ˌestɪˈmeɪʃən
estonia,eˈstəʊnɪə,
estonian,eˈstəʊnɪən,"i.    estoński
ii.    estończyk"
estranged,"1.  odseparowany 
 2.  odosobniony",pokłócony|ɪˈstreɪnʤd
estuary,ujście,ˈestjʊərɪ
et cetera,"et cetera
  itd.",etc.|itp.
eta,szacowany czas przybycia,
etc,"et cetera
  itd.",etc.|itp.
etch,eʧ,
eternal,"1.  wieczny
 2.  odwieczny",ɪˈtɜ:nəl
eternity,wieki,ɪˈtɜ:nɪtɪ
ether,eter,ˈɪθə
ethic,ˈeθɪk,
ethical,etyczny,ˈeθɪkəl
ethiopia,etiopia,ˌi:θɪˈəʊpɪə
ethiopian,ˌi:θɪˈəʊpɪən,
ethnic,etniczny,ˈeθnɪk
etiquette,etykieta,ˈetɪket
eucharist,eucharystia,ˈju:kərɪst
eucharistic,eucharystyczny,ˌju:kəˈrɪstɪk
eulogy,panegiryk,utwór pochwalny|ˈju:ləʤɪ
eunuch,ˈju:nək,
euphemism,eufemizm,ˈju:fəmɪzəm
euphoria,euforia,ju:ˈfɔ:rɪə
euphoric,euforyczny,ju:ˈfɔ:rɪk
europe,europa,ˈjʊərəp
european,"i.    europejski
ii.    europejczyk",ˌjʊərəˈpɪən
euthanasia,eutanazja,ˌju:θəˈneɪzɪə
evacuate,ewakuować,ɪˈvækjʊeɪt
evade,1.  unikać,umykać|ɪˈveɪd
evaluate,oceniać,ɪˈvæljʊeɪt
evaluation,ocena,oszacowanie|ɪˌvæljʊˈeɪʃən
evangelical,"1.  ewangeliczny
 2.  ewangelicki",protestancki|ˌi:vænˈʤelɪkəl
evangelist,ewangelista,ɪˈvænʤelɪst
evaporate,ɪˈvæpəreɪt,
evasion,wykręcanie się,ɪˈveɪʒən
evasive,1.  wykrętny,ɪˈveɪsɪv
eve,"1.  przeddzień
 2.  wigilia",i:v
even,"though 
 - jeżeli nawet",ˈi:vən
evening,zajęcia zaoczne,ˈi:vnɪŋ|ˈi:vnɪŋ dres|ˈi:vnɪŋ klɑ:s
event,1.  wydarzenie,gdy|ɪˈvent
eventful,doniosły,pełen wydarzeń|ɪˈventfʊl
eventual,ostateczny,ɪˈvenʧʊəl
eventuality,ewentualność,możliwość|ɪˌvenʧʊˈælɪtɪ
ever,"such 
 - niezwykle",ˈevə
evergreen,roślina wiecznie zielona,ˈevəgri:n
everlasting,trwały,wieczny|ˌevəˈlɑ:stɪŋ
every,co drugi,ˈevrɪ
everybody,ˈevrɪbɒdɪ,
everyday,codzienny,zwykły|ˈevrɪdeɪ
everyone,ˈevrɪwʌn,
everyplace,wszędzie,ˈevrɪpleɪs
everything,wszystko,ˈevrɪθɪŋ
everywhere,wszędzie,ˈevrɪweə
evict,eksmitować,ɪˈvɪkt
eviction,eksmisja,ɪˈvɪkʃən
evidence,być jasno widocznym,ˈevɪdəns
evident,oczywisty,widoczny|ˈevɪdənt
evil,ˈi:vəl,
evocation,ewokacja,przywołąnie|ˌi:vəˈkeɪʃən
evocative,przywołujący,ɪˈvɒkətɪv
evoke,przywoływać,ɪˈvəʊk
evolution,ewolucja,rozwój|ˌi:vəˈlu:ʃən
evolve,1.  ewoluować,"przekształcać 
 2.  rozwijać się|przekształcać się|rozwijać|ɪˈvɒlv"
ewe,ju:,
exacerbate,pogarszać,ɪgˈzæsəbeɪt
exact,ɪgˈzækt,
exacting,wymagający,ɪgˈzæktɪŋ
exactly,nie całkiem,ɪgˈzæktlɪ
exaggerate,"1.  przesadzać
 2.  wyolbrzymiać",ɪgˈzæʤəreɪt
exalt,ɪgˈzɔ:lt,
exalted,"1.  wysoki
 2.  egzaltowany",ɪgˈzɔ:ltɪd
exam,egzamin,ɪgˈzæm
examination,"oględziny
 4.  rozpatrzenie",ɪgˌzæmɪˈneɪʃən
examine,ɪgˈzæmɪn,
examiner,egzaminator,ɪgˈzæmɪnə
example,ɪgˈzɑ:mpəl,
exasperate,dręczyć,rozjątrzać|ɪgˈzæspəreɪt
exc,"exc.
  z wyjątkiem",
excavate,przeprowadzać wykopaliska,wykopywać|ˈekskəveɪt
excavation,wykopaliska,ˌekskəˈveɪʃən
exceed,przekraczać,ɪkˈsi:d
exceedingly,niezwykle,ɪkˈsi:dɪŋlɪ
excel,przodować,ɪkˈsel
excellence,doskonałość,przodowanie|ˈeksələns
excellency,ˈeksələnsɪ,
excellent,doskonały,znakomity|ˈeksələnt
except,oprócz,ɪkˈsept
excepted,wyjąwszy,ɪkˈseptɪd
excepting,oprócz,prócz|z wyjątkiem|ɪkˈseptɪŋ
exception,ɪkˈsepʃən,
exceptional,wyjątkowy,ɪkˈsepʃənəl
excerpt,fragment,wyjątek|ˈeksɜ:pt
excess,"excess
i.    nadmierny",
excessive,nadmierny,ɪkˈsesɪv
exchange,i.    wymieniać się,ɪksˈʧeɪnʤ
excise,amputować,"excise
i.    akcyza|opłata akcyzowa
ii.    wycinać"
excitable,ekscytujący się,pobudliwy|ɪkˈsaɪtəbəl
excite,"1.  ekscytować
 2.  wzniecać",podniecać|ɪkˈsaɪt
excitement,1.  podniecenie,podnieta|ɪkˈsaɪtmənt
exclaim,wykrzykiwać,zakrzykiwać|ɪkˈskleɪm
exclamation,wykrzyknik,ˌekskləˈmeɪʃən|ˌekskləˈmeɪʃən ˌmɑ:k
exclude,1.  pomijać,"nie włączać 
 2.  wykluczać|wykluczać|ɪkˈsklu:d"
excluding,z wyjątkiem,ɪkˈsklu:dɪŋ
exclusion,1.  wydalenie,ɪkˈsklu:ʒən
exclusive,ɪkˈsklu:sɪv,
excommunicate,ekskomunikować,wyklinać|ˌekskəˈmju:nɪkeɪt
excrement,ekskrementy,stolec|ˈekskrəmənt
excrete,wydzielać,ɪkˈskri:t
excruciating,przygniatający,ɪkˈskru:ʃɪeɪtɪŋ
excursion,"1.  wyprawa
 2.  wycieczka",wypad|ɪkˈskɜ:ʃən
excusable,do wybaczenia,wybaczalny|ɪkˈskju:zəbəl
excuse,"excuse
i.    usprawiedliwienie",
execute,1.  poddawać egzekucji,"przeprowadzać|tracić
 2.  wykonywać|ˈeksɪkju:t"
execution,ˌeksɪkˈju:ʃən,
executioner,kat,ˌeksɪˈkju:ʃənə
executive,i.   1.  wyższy urzędnik,"menadżer
 2.  egzekutywa|organ wykonawczy
ii.    zarządzający|wykonawczy|ɪgˈzekjʊtɪv"
executor,egzekutor,ɪgˈzekjʊtə
exemplary,przykładowy,ɪgˈzemplərɪ
exempli gratia,na przykład,np.
exemplify,podawać przykłady,ɪgˈzemplɪfaɪ
exempt,"i.    zwolniony 
ii.    zwalniać",ɪgˈzempt
exercise,"wywierać
iii.  exercise book",zeszyt|ˈeksəsaɪz|ˈeksəsaɪz ˌbʊk
exert,ɪgˈzɜ:t,
exertion,wysiłek,ɪgˈzɜ:ʃən
exhale,eksˈheɪl,wydychać
exhaust,ɪgˈzɔ:st,
exhaustion,wyczerpanie,ɪgˈzɔ:sʧən
exhaustive,wyczerpujący,ɪgˈzɔ:stɪv
exhibit,pokazywać,ɪgˈzɪbɪt
exhibition,1.  wystawa,ˌegzɪˈbɪʃən
exhibitionism,ekshibicjonizm,ˌegzɪˈbɪʃənɪzəm
exhibitionist,ekshibicjonista,ˌegzɪˈbɪʃənɪst
exhibitor,wystawca,ɪgˈzɪbɪtə
exhilarate,rozradować,rozradować się|rozweselić|rozweselić się|ɪgˈzɪləreɪt
exhort,nawoływać,ɪgˈzɔ:t
exhume,ekshumować,eksˈhju:m
exile,ˈeksaɪl,
exist,istnieć,ɪgˈzɪst
existence,"1.  istnienie
 2.  egzystencja",ɪgˈzɪstəns
existential,egzystencjalny,ˌegzɪˈstenʃəl
exit,i.    wyjście,ˈegzɪt
exodus,eksodus,ˈeksədəs
exonerate,oczyszczać,uwalniać|ɪgˈzɒnəreɪt
exorbitant,wygórowany,ɪgˈzɔ:bɪtənt
exorcise,egzorcyzmować,exorcize|ˈeksɔ:saɪz
