uni_lemma,norwegian_word,norwegian_category,norwegian_gloss,english_word,english_category,polish_word,polish_category,polish_gloss
train,tog,vehicles,train,train,vehicles,placeholder,placeholder,placeholder
trash,søppel,household,trash,rubbish,household,placeholder,placeholder,placeholder
tree,tre,outside,three,tree,outside,placeholder,placeholder,placeholder
truck,lastebil,vehicles,truck,lorry / truck,vehicles,placeholder,placeholder,placeholder
tummy,mage,body_parts,stomach,tummy,body_parts,placeholder,placeholder,placeholder
turtle,skilpadde,animals,tortoise,turtle,animals,placeholder,placeholder,placeholder
tv,TV,furniture_rooms,Television,TV / television,furniture_rooms,placeholder,placeholder,placeholder
uncle,onkel,people,Uncle,uncle,people,placeholder,placeholder,placeholder
under,under,locations,under,under,prepositions,placeholder,placeholder,placeholder
up,opp,locations,up,up,prepositions,placeholder,placeholder,placeholder
up,oppe,locations,up,up,prepositions,placeholder,placeholder,placeholder
vacuum,støvsuger,household,vacuum cleaner,hoover / vacuum,household,placeholder,placeholder,placeholder
vroom,brrr (bil-lyd),sounds,brr (car audio),vroom,sounds,placeholder,placeholder,placeholder
wait,vent,games_routines,hold it,wait,games_routines,placeholder,placeholder,placeholder
wait,vente,action_words,wait,wait,games_routines,placeholder,placeholder,placeholder
walk,gå,action_words,go,walk,action_words,placeholder,placeholder,placeholder
wanna,vil,games_routines,want to,want to,games_routines,placeholder,placeholder,placeholder
wash,vaske,action_words,wash,wash,action_words,placeholder,placeholder,placeholder
watch (action),holde øye med,action_words,keep an eye on,watch,action_words,placeholder,placeholder,placeholder
water (beverage),vann (beverage),food_drink,water,water,food_drink,placeholder,placeholder,placeholder
water (not beverage),vann (not beverage),outside,water,water,outside,placeholder,placeholder,placeholder
wet (description),våt,descriptive_words,wet,wet,descriptive_words,placeholder,placeholder,placeholder
what,hva,question_words,what,what,question_words,placeholder,placeholder,placeholder
when (question),når,question_words,what time,when,question_words,placeholder,placeholder,placeholder
where (question),hvor,question_words,where,where,question_words,placeholder,placeholder,placeholder
who,hvem,question_words,who,who,question_words,placeholder,placeholder,placeholder
why,hvorfor,question_words,how come,why,question_words,placeholder,placeholder,placeholder
window,vindu,furniture_rooms,window,window,furniture_rooms,placeholder,placeholder,placeholder
woof woof,voff voff,sounds,voff voff,woof,sounds,placeholder,placeholder,placeholder
work (place),jobb,places,job,work,outside,placeholder,placeholder,placeholder
write,skrive,action_words,write,write,action_words,placeholder,placeholder,placeholder
yellow,gul,descriptive_words,yellow,yellow,descriptive_words,placeholder,placeholder,placeholder
yes,ja,games_routines,yes,yes,games_routines,placeholder,placeholder,placeholder
yum yum,nam - nam,sounds,nam - nam,yum,sounds,placeholder,placeholder,placeholder
zipper,glidelås,clothing,zipper,zip,clothing,placeholder,placeholder,placeholder
zoo,dyrehage,places,zoo,zoo,outside,placeholder,placeholder,placeholder
